DOMINIAL;PESSOA JURÍDICA;07.***.213/0001-77;3A EMPREENDIMENTOS IMOBILIARIOS LTDA                   ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;07.***.213/0001-77;3A EMPREENDIMENTOS IMOBILIARIOS LTDA                   ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;13.***.328/0001-98;3A PARTICIPACOES LTDA                                  ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;13.***.328/0001-98;3A PARTICIPACOES LTDA                                  ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;13.***.328/0001-98;3A PARTICIPACOES LTDA                                  ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;13.***.328/0001-98;3A PARTICIPACOES LTDA                                  ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;13.***.328/0001-98;3A PARTICIPACOES LTDA                                  ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;19.***.842/0001-01;3 BARRAS ADMINISTRACAO DE BENS PROPRIOS LTDA           ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;19.***.842/0001-01;3 BARRAS ADMINISTRACAO DE BENS PROPRIOS LTDA           ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;35.***.626/0001-63;3BARRAS PARTICIPACOES LTDA                             ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;28.***.013/0001-69;3 D ADMINISTRADORA LTDA                                ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;28.***.013/0001-69;3 D ADMINISTRADORA LTDA                                ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;21.***.801/0001-47;3D C EMPREENDIMENTOS E PARTICIPACOES LTDA              ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;21.***.801/0001-47;3D C EMPREENDIMENTOS E PARTICIPACOES LTDA              ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;10.***.512/0001-40;3D HOUSE LTDA                                          ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;07.***.856/0001-00;3D PROJETOS ENGENHARIA E ARQUITETURA LTDA              ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;26.***.734/0001-28;3 ELOS ADMINISTRACAO DE BENS PROPRIOS E PARTICIPACOES L;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;27.***.983/0001-70;3F GESTAO E ADMINISTRACAO IMOBILIARIA LTDA             ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;17.***.122/0001-70;3F GESTORA ADMINISTRACAO E PARTICIPACAO S A            ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;07.***.008/0001-75;3FS PARTICIPACOES LTDA                                 ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;10.***.535/0001-03;3GR EMPREENDIMENTOS E PARTICIPACOES S A                ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;78.***.165/0001-60;3 IGREJA BATISTA                                       ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;21.***.992/0001-97;3 IRMAOS PATRIMONIAL LTDA                              ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;34.***.848/0001-07;3JBLANCO ADMINISTRADORA DE BENS E PARTICIPACOES LTDA   ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;96.***.809/0001-15;3J REPRESENTACOES LTDA                                 ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;09.***.426/0001-50;3LA PATRIMONIAL LTDA                                   ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;09.***.426/0001-50;3LA PATRIMONIAL LTDA                                   ;OCUPACAO                                          
DOMINIAL;PESSOA JURÍDICA;06.***.707/0001-05;3L EMPREENDIMENTOS E PARTICIPACOES EIRELI              ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;06.***.707/0001-05;3L EMPREENDIMENTOS E PARTICIPACOES EIRELI              ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;10.***.036/0001-74;3L EMPREENDIMENTOS IMOBILIARIOS EIRELI                 ;AFORAMENTO                                        
DOMINIAL;PESSOA JURÍDICA;10.***.036/0001-74;3L EMPREENDIMENTOS IMOBILIARIOS EIRELI                 ;AFORAMENTO                                        
